UG Tombamento;Unidade Gestora;Unidade Responsável;Tombamento;Data Tombamento;Data Garantia;Código Material;Denominação;Observação;Descritores;Marca;Estado;Status;Detentor;Lotação Dententor;Finalidade;Fornecedor;Depreciável/Amortizável;Vida Útil;Nota Fiscal;Empenho;Termo;Valor
UFBA;UFBA;BIBLIOTECA UNIVERSITÁRIA REITOR MACEDO COSTA /SIBI;77333792;15/09/2023;15/09/2023;"5212000000050	";APARELHO DE AR CONDICIONADO - Registro Geral 6471 - MARCA ELGIN - TIPOLOGIA SPLIT PISO-TETO (SPP) - 60000 BTU/H;;"Andar: TERREO
BTU: 60000
Edificação: PRINCIPAL
Local: AQUISIÇÃO
Marca: ELGIN
Modelo: NÃO INFORMADO
Número do Tombo: 1009871
Registro Geral: 6471
Situação do Equipamento: ATIVO
Tipologia: SPLIT PISO-TETO (SPP)
Voltagem: 220§";ELGIN;Em uso;EFETIVADO;;;ADMINISTRAÇÃO;Não informado;Sim;120;;;283/2023;R$ 99,99
UFBA;UFBA;BIBLIOTECA UNIVERSITÁRIA REITOR MACEDO COSTA /SIBI;77333793;15/09/2023;15/09/2023;"5212000000050	";APARELHO DE AR CONDICIONADO - Registro Geral 6472 - MARCA ELGIN - TIPOLOGIA SPLIT PISO-TETO - 60000 BTU/H;;"Andar: TERREO
BTU: 60000
Edificação: PRINCIPAL
Local: AQUISIÇÃO
Marca: ELGIN
Modelo: NÃO INFORMADO
Número do Tombo: 1009872
Registro Geral: 6472
Situação do Equipamento: ATIVO
Tipologia: SPLIT PISO-TETO
Voltagem: 220§";ELGIN;Em uso;EFETIVADO;;;ADMINISTRAÇÃO;Não informado;Sim;120;;;284/2023;R$ 99,99
UFBA;UFBA;BIBLIOTECA UNIVERSITÁRIA REITOR MACEDO COSTA /SIBI;77333794;15/09/2023;15/09/2023;"5212000000116	";APARELHO DE AR CONDICIONADO - Registro Geral 6473 - MARCA ELGIN - TIPOLOGIA SPLIT HI-WALL (SPH) - 24000 BTU/H;;"Andar: TERREO
BTU: 24000
Edificação: PRINCIPAL
Local: DOAÇÃO
Marca: ELGIN
Modelo: NÃO INFORMADO
Número do Tombo: 1005615
Registro Geral: 6473
Situação do Equipamento: ATIVO
Tipologia: SPLIT HI-WALL (SPH)
Voltagem: 220§";ELGIN;Em uso;EFETIVADO;;;ADMINISTRAÇÃO;Não informado;Sim;120;;;285/2023;R$ 99,99
UFBA;UFBA;BIBLIOTECA UNIVERSITÁRIA REITOR MACEDO COSTA /SIBI;77333795;15/09/2023;15/09/2023;"5212000000116	";APARELHO DE AR CONDICIONADO - Registro Geral 6474 - MARCA ELGIN - TIPOLOGIA SPLIT - 24000 BTU/H;;"Andar: TERREO
BTU: 24000
Edificação: PRINCIPAL
Local: COORDENAÇÃO
Marca: ELGIN
Modelo: NÃO INFORMADO
Número do Tombo: 1005617
Registro Geral: 6474
Situação do Equipamento: ATIVO
Tipologia: SPLIT
Voltagem: 220§";ELGIN;Em uso;EFETIVADO;;;ADMINISTRAÇÃO;Não informado;Sim;120;;;288/2023;R$ 99,99
UFBA;UFBA;BIBLIOTECA UNIVERSITÁRIA REITOR MACEDO COSTA /SIBI;77333796;15/09/2023;15/09/2023;"5212000000116	";APARELHO DE AR CONDICIONADO - Registro Geral 6475 - MARCA ELGIN - TIPOLOGIA SPLIT HI-WALL (SPH) - 24000 BTU/H;;"Andar: TERREO
BTU: 24000
Edificação: PRINCIPAL
Local: SUPERINTENDENTE
Marca: ELGIN
Modelo: NÃO INFORMADO
Número do Tombo: 1005612
Registro Geral: 6475
Situação do Equipamento: ATIVO
Tipologia: SPLIT HI-WALL (SPH)
Voltagem: 220§";ELGIN;Em uso;EFETIVADO;;;ADMINISTRAÇÃO;Não informado;Sim;120;;;287/2023;R$ 99,99
UFBA;UFBA;CENTRO DE DESENVOLVIMENTO DE PECUÁRIA/MEV;2019003953;08/01/2019;08/01/2019;"5212000000359	";APARELHO DE AR CONDICIONADO - Registro Geral 5274 - MARCA STARCOOL - TIPOLOGIA DE JANELA - (ACJ) - 9000 BTU/H;;"Andar: TÉRREO
BTU: 9000
Edificação: FAZENDA DE OLIVEIRA DOS CAMPINHOS
Local: COORDENAÇÃO (ADM)
Marca: STARCOOL
Modelo: AUS-09C63F1SOL(E2)
Registro Geral: 5274
Situação do Equipamento: ATIVO
Tipologia: DE JANELA - (ACJ)
Voltagem: 220V§";STARCOOL;Em uso;EFETIVADO;;;ADMINISTRAÇÃO;Não informado;Não;120;;;3953/2019;R$ 63,47
UFBA;UFBA;CENTRO DE DESENVOLVIMENTO DE PECUÁRIA/MEV;2019003954;08/01/2019;08/01/2019;"5212000000359	";APARELHO DE AR CONDICIONADO - Registro Geral 5275 - MARCA GREE - TIPOLOGIA DE JANELA - (ACJ) - 7000 BTU/H;;"Andar: TÉRREO
BTU: 7000
Edificação: FAZENDA DE OLIVEIRA DOS CAMPINHOS
Local: DIVISÃO (ADM)
Marca: GREE
Modelo: GJQ-12LMVC
Registro Geral: 5275
Situação do Equipamento: ATIVO
Tipologia: DE JANELA - (ACJ)
Voltagem: 220V§";GREE;Em uso;EFETIVADO;;;ADMINISTRAÇÃO;Não informado;Não;120;;;3954/2019;R$ 63,47
UFBA;UFBA;CENTRO DE DESENVOLVIMENTO DE PECUÁRIA/MEV;2019003956;08/01/2019;08/01/2019;"5212000000359	";APARELHO DE AR CONDICIONADO - Registro Geral 5276 - MARCA CONSUL - TIPOLOGIA DE JANELA - (ACJ) - OUTROS BTU/H;;"Andar: TÉRREO
BTU: OUTROS
Edificação: FAZENDA OLIVEIRA DOS CAMPINHOS
Local: DIVISÃO ADM (SALA DE ESTUDOS)
Marca: CONSUL
Registro Geral: 5276
Situação do Equipamento: ATIVO
Tipologia: DE JANELA - (ACJ)
Voltagem: OUTROS§";CONSUL;Em uso;EFETIVADO;;;ADMINISTRAÇÃO;Não informado;Não;120;;;3956/2019;R$ 63,47
UFBA;UFBA;CENTRO DE DESENVOLVIMENTO DE PECUÁRIA/MEV;2019003957;08/01/2019;08/01/2019;"5212000000359	";APARELHO DE AR CONDICIONADO - Registro Geral 5277 - MARCA STARCOOL - TIPOLOGIA SPLIT HI-WALL - (SPH) - 9000 BTU/H;;"Andar: TÉRREO
BTU: 9000
Edificação: FAZENDA DE OLIVEIRA DOS CAMPINHOS
Local: SALA DOS TÉCNICOS
Marca: STARCOOL
Modelo: AUS 09C63F150L9(E2)
Registro Geral: 5277
Situação do Equipamento: ATIVO
Tipologia: SPLIT HI-WALL - (SPH)
Voltagem: 220V§";STARCOOL;Em uso;EFETIVADO;;;ADMINISTRAÇÃO;Não informado;Não;120;;;3957/2019;R$ 63,47
UFBA;UFBA;CENTRO DE DESENVOLVIMENTO DE PECUÁRIA/MEV;2019003958;08/01/2019;08/01/2019;"5212000000359	";APARELHO DE AR CONDICIONADO - Registro Geral 5279 - MARCA ELGIN - TIPOLOGIA DE JANELA - (ACJ) - 18000 BTU/H;;"Andar: TÉRREO
BTU: 18000
Edificação: FAZENDA DE OLIVEIRA DOS CAMPINHOS
Local: CLINICA
Marca: ELGIN
Registro Geral: 5279
Situação do Equipamento: ATIVO
Tipologia: DE JANELA - (ACJ)
Voltagem: 220V§";ELGIN;Em uso;EFETIVADO;;;ADMINISTRAÇÃO;Não informado;Não;120;;;3958/2019;R$ 63,47
